name,geometry
Hogarth's House,"POLYGON ((-0.2552667 51.4869169, -0.2552265 51.486884, -0.2549246 51.4870268, -0.2549648 51.4870598, -0.2552667 51.4869169))"
Royal Academy of Arts,"POLYGON ((-0.1403344 51.5093087, -0.1395083 51.5096126, -0.139481 51.5096262, -0.1394286 51.5096454, -0.1393647 51.5095784, -0.1394212 51.5095586, -0.1392242 51.509345, -0.1391919 51.5093567, -0.1391286 51.5092933, -0.1392815 51.5092363, -0.1392595 51.5092145, -0.1391355 51.5092603, -0.1390605 51.509187, -0.1391662 51.5091448, -0.1391699 51.5091338, -0.1391942 51.5091237, -0.1391757 51.5091049, -0.1393041 51.5090575, -0.1394536 51.5090022, -0.1395798 51.5089555, -0.1396952 51.5089144, -0.1397031 51.508924, -0.1397102 51.5089322, -0.1397613 51.5089163, -0.1397996 51.5089615, -0.1398403 51.5089481, -0.1398196 51.5089257, -0.1398276 51.5089044, -0.1398842 51.508883, -0.1399259 51.5088882, -0.1403344 51.5093087))"
Transport Museum Depot,"POLYGON ((-0.2806448 51.5046655, -0.280843 51.504774, -0.2807848 51.5048152, -0.2815616 51.5052403, -0.2818402 51.5050412, -0.2818858 51.5050097, -0.2819352 51.5049743, -0.2819829 51.5049411, -0.2820319 51.5049075, -0.2820755 51.504877, -0.2821159 51.5048478, -0.2815178 51.5045205, -0.2817238 51.5043745, -0.2812081 51.5040924, -0.2806368 51.5044969, -0.280694 51.5045282, -0.2806335 51.5045711, -0.2806448 51.5046655))"
London Transport Museum,"POLYGON ((-0.1217107 51.5120889, -0.1215529 51.5121594, -0.1214818 51.512191, -0.1215013 51.5122077, -0.1214927 51.5122116, -0.1214204 51.5122442, -0.1213529 51.5122747, -0.1212562 51.5123183, -0.1211494 51.5122266, -0.1210922 51.5121775, -0.1209287 51.5120371, -0.1208968 51.5120097, -0.1208228 51.5119461, -0.1212954 51.5117328, -0.1214658 51.5116534, -0.1216412 51.5118058, -0.1216969 51.5118537, -0.1216431 51.5118778, -0.1216125 51.5118919, -0.1215873 51.5119035, -0.1215254 51.511932, -0.1217107 51.5120889))"
Bethlem Museum of the Mind,"POLYGON ((-0.029313 51.3811175, -0.029443 51.3811187, -0.0294442 51.3810677, -0.0295344 51.3810685, -0.0295367 51.3809779, -0.0295778 51.3809783, -0.0295812 51.3808427, -0.0294977 51.3808419, -0.0295001 51.3807484, -0.0293222 51.3807467, -0.0293179 51.3809201, -0.029313 51.3811175))"
Sir John Soane's Museum,"POLYGON ((-0.1173214 51.5172136, -0.1172671 51.5171173, -0.1173755 51.5171, -0.1173132 51.5169942, -0.1175564 51.5169457, -0.1176695 51.517127, -0.1176703 51.5171278, -0.1173214 51.5172136))"
Keats House,"POLYGON ((-0.1678141 51.5555714, -0.1678141 51.5554721, -0.1678887 51.5554721, -0.1678887 51.5554596, -0.168057 51.5554596, -0.168057 51.5555714, -0.1679421 51.5555714, -0.1678141 51.5555714))"
Burgh House and Hampstead Museum,"POLYGON ((-0.175275 51.5581717, -0.1752507 51.5581596, -0.175184 51.558211, -0.1750837 51.5581609, -0.1751355 51.5581209, -0.1750667 51.5580865, -0.174889 51.5582237, -0.1749457 51.5582521, -0.17493 51.5582643, -0.1750422 51.5583204, -0.1750787 51.5582923, -0.1750413 51.5582736, -0.1751133 51.558218, -0.1751751 51.5582489, -0.175275 51.5581717))"
Kirkaldy Testing Museum,"POLYGON ((-0.1016354 51.5060465, -0.1013461 51.5059627, -0.1014035 51.505893, -0.1017149 51.5059449, -0.1016354 51.5060465))"
The Clink,"POLYGON ((-0.0920882 51.5070845, -0.0920074 51.5070885, -0.0919915 51.5070893, -0.0918858 51.5070889, -0.0917075 51.507071, -0.0917092 51.5070618, -0.0916929 51.5070608, -0.0916749 51.5070567, -0.0916566 51.507045, -0.0916419 51.5070288, -0.0916508 51.5069953, -0.0916566 51.5069757, -0.0917319 51.5069756, -0.091744 51.5069358, -0.0917528 51.5069366, -0.091767 51.5068683, -0.0917709 51.5068496, -0.0920032 51.5068671, -0.0919982 51.5069468, -0.0920763 51.5069439, -0.0920882 51.5070845))"
Walthamstow Pumphouse Museum,"POLYGON ((-0.0350751 51.5768435, -0.0350238 51.5768726, -0.0346752 51.5770549, -0.0341761 51.5766752, -0.0341671 51.5766562, -0.0341703 51.5766386, -0.0344486 51.5764632, -0.0350751 51.5768435))"
Old Operating Theatre Museum,"POLYGON ((-0.0884166 51.5049506, -0.0885819 51.5049985, -0.0886077 51.5049641, -0.0887035 51.5049918, -0.0886568 51.5050542, -0.0886492 51.5050515, -0.0886209 51.50508, -0.0885587 51.5051427, -0.0884639 51.505113, -0.0883271 51.5050702, -0.0884166 51.5049506))"
Tower Bridge Engine Rooms,"POLYGON ((-0.076034 51.5041844, -0.0759608 51.5041668, -0.0760795 51.5039762, -0.0761311 51.5038934, -0.0762831 51.50393, -0.0762463 51.5039876, -0.0762258 51.5039824, -0.0761507 51.5039643, -0.0760875 51.5040661, -0.0761047 51.5040703, -0.076085 51.5041015, -0.076034 51.5041844))"
Royal Academy,"POLYGON ((-0.1398528 51.5100143, -0.1407119 51.5096959, -0.1405259 51.5095095, -0.1404175 51.509551, -0.1403312 51.5094678, -0.1397131 51.5096979, -0.1396824 51.5096659, -0.1395556 51.5097131, -0.139613 51.5097729, -0.1397313 51.5097288, -0.1397791 51.5097786, -0.1396642 51.5098214, -0.1396915 51.5098498, -0.139676 51.5098555, -0.1398011 51.5099857, -0.1398189 51.5099791, -0.1398528 51.5100143))"
Two Temple Place,"POLYGON ((-0.1125334 51.5117373, -0.112512 51.5116639, -0.1123537 51.5116756, -0.1123175 51.511542, -0.1120781 51.511558, -0.1120952 51.5117459, -0.112457 51.5117474, -0.1125334 51.5117373))"
Fashion and Textile Museum,"POLYGON ((-0.0819384 51.5012717, -0.0814822 51.5013255, -0.0814575 51.501318, -0.0813926 51.501105, -0.0818706 51.5010486, -0.0819384 51.5012717))"
Freud Museum London,"POLYGON ((-0.1772479 51.5483995, -0.1775368 51.5483998, -0.1775372 51.5482786, -0.1775374 51.5482507, -0.1775375 51.5482227, -0.1772486 51.5482224, -0.1772479 51.5483995))"
Benjamin Franklin House,"POLYGON ((-0.1248285 51.5076779, -0.1248623 51.5076516, -0.1249545 51.5075895, -0.1249836 51.5076055, -0.1250049 51.5076173, -0.1250193 51.5076252, -0.1249319 51.5076918, -0.1249045 51.5076775, -0.1248682 51.5077001, -0.1248285 51.5076779))"
Fenton House,"POLYGON ((-0.1797611 51.5589463, -0.1795555 51.5589417, -0.1795576 51.5589028, -0.1795855 51.5589027, -0.1795843 51.5588875, -0.1795877 51.5588538, -0.1795646 51.5588537, -0.1795688 51.5588178, -0.1797703 51.5588235, -0.1797662 51.5588702, -0.179808 51.558872, -0.1798018 51.5589011, -0.1797633 51.5588996, -0.1797611 51.5589463))"
Markfield Beam Engine & Museum,"POLYGON ((-0.0617041 51.5818135, -0.0616089 51.5819357, -0.061211 51.5818191, -0.0613255 51.5817285, -0.0613329 51.5817177, -0.0614301 51.5817431, -0.0617041 51.5818135))"
Leighton House Museum,"POLYGON ((-0.2029775 51.4985534, -0.20305 51.498633, -0.2030358 51.4986381, -0.2029752 51.4985714, -0.2028473 51.4986164, -0.2029103 51.4986857, -0.2029552 51.4986699, -0.2030156 51.4987366, -0.2030378 51.4987288, -0.2030518 51.4987443, -0.2030946 51.4987292, -0.2030839 51.4987175, -0.2031896 51.4986804, -0.203196 51.4986875, -0.2032448 51.4986704, -0.2032383 51.4986633, -0.2033013 51.4986412, -0.2032832 51.4986212, -0.2032921 51.4986105, -0.2032908 51.4986003, -0.2032797 51.4985917, -0.2032608 51.4985913, -0.203238 51.4985667, -0.2032593 51.498559, -0.2032538 51.4985531, -0.2032983 51.4985371, -0.2032898 51.4985279, -0.2033037 51.4985229, -0.2032955 51.498514, -0.2033078 51.4985096, -0.2032944 51.4984951, -0.2032837 51.4984989, -0.2032755 51.49849, -0.2032646 51.4984938, -0.2032555 51.4984839, -0.2032144 51.4984984, -0.2032049 51.4984881, -0.2031889 51.4984937, -0.2031786 51.4984825, -0.2030512 51.4985274, -0.2029775 51.4985534))"
Garden Museum,"POLYGON ((-0.120359 51.4951227, -0.1204187 51.4950086, -0.1204344 51.4949996, -0.1204698 51.4948549, -0.1204809 51.4947868, -0.1204952 51.4946992, -0.1204393 51.4946669, -0.119788 51.4947612, -0.1194546 51.4948095, -0.1194606 51.4948346, -0.1195079 51.4950339, -0.1196524 51.4950624, -0.1198294 51.4950972, -0.1199214 51.4951078, -0.1201568 51.4951156, -0.1203165 51.4951235, -0.120359 51.4951227))"
Elephant West,"POLYGON ((-0.2245776 51.5124852, -0.2247868 51.5124635, -0.2247144 51.5122164, -0.2245025 51.5122398, -0.2245776 51.5124852))"
